Verse ID,Book Name,Book Number,Chapter,Verse,Text
1,Genesis,1,1,1,In the beginning God created the heavens and the earth.
2,Genesis,1,1,2,"Now the earth was without shape and empty, and darkness was over the surface of the watery deep, but the Spirit of God was moving over the surface of the water."
3,Genesis,1,1,3,"God said,“Let there be light.” And there was light!"
4,Genesis,1,1,4,"God saw that the light was good, so God separated the light from the darkness."
5,Genesis,1,1,5,"God called the light“day” and the darkness“night.” There was evening, and there was morning, marking the first day."
6,Genesis,1,1,6,"God said,“Let there be an expanse in the midst of the waters and let it separate water from water.”"
7,Genesis,1,1,7,So God made the expanse and separated the water under the expanse from the water above it. It was so.
8,Genesis,1,1,8,"God called the expanse“sky.” There was evening, and there was morning, a second day."
9,Genesis,1,1,9,"God said,“Let the water under the sky be gathered to one place and let dry ground appear.” It was so."
10,Genesis,1,1,10,God called the dry ground“land” and the gathered waters he called“seas.” God saw that it was good.
11,Genesis,1,1,11,"God said,“Let the land produce vegetation: plants yielding seeds and trees on the land bearing fruit with seed in it, according to their kinds.” It was so."
12,Genesis,1,1,12,"The land produced vegetation– plants yielding seeds according to their kinds, and trees bearing fruit with seed in it according to their kinds. God saw that it was good."
13,Genesis,1,1,13,"There was evening, and there was morning, a third day."
14,Genesis,1,1,14,"God said,“Let there be lights in the expanse of the sky to separate the day from the night, and let them be signs to indicate seasons and days and years,"
15,Genesis,1,1,15,and let them serve as lights in the expanse of the sky to give light on the earth.” It was so.
16,Genesis,1,1,16,God made two great lights– the greater light to rule over the day and the lesser light to rule over the night. He made the stars also.
17,Genesis,1,1,17,"God placed the lights in the expanse of the sky to shine on the earth,"
18,Genesis,1,1,18,"to preside over the day and the night, and to separate the light from the darkness. God saw that it was good."
19,Genesis,1,1,19,"There was evening, and there was morning, a fourth day."
20,Genesis,1,1,20,"God said,“Let the water swarm with swarms of living creatures and let birds fly above the earth across the expanse of the sky.”"
21,Genesis,1,1,21,"God created the great sea creatures and every living and moving thing with which the water swarmed, according to their kinds, and every winged bird according to its kind. God saw that it was good."
22,Genesis,1,1,22,"God blessed them and said,“Be fruitful and multiply and fill the water in the seas, and let the birds multiply on the earth.”"
23,Genesis,1,1,23,"There was evening, and there was morning, a fifth day."
24,Genesis,1,1,24,"God said,“Let the land produce living creatures according to their kinds: cattle, creeping things, and wild animals, each according to its kind.” It was so."
25,Genesis,1,1,25,"God made the wild animals according to their kinds, the cattle according to their kinds, and all the creatures that creep along the ground according to their kinds. God saw that it was good."
26,Genesis,1,1,26,"Then God said,“Let us make humankind in our image, after our likeness, so they may rule over the fish of the sea and the birds of the air, over the cattle, and over all the earth, and over all the creatures that move on the earth.”"
27,Genesis,1,1,27,"God created humankind in his own image, in the image of God he created them, male and female he created them."
28,Genesis,1,1,28,"God blessed them and said to them,“Be fruitful and multiply! Fill the earth and subdue it! Rule over the fish of the sea and the birds of the air and every creature that moves on the ground.”"
29,Genesis,1,1,29,"Then God said,“I now give you every seed-bearing plant on the face of the entire earth and every tree that has fruit with seed in it. They will be yours for food."
30,Genesis,1,1,30,"And to all the animals of the earth, and to every bird of the air, and to all the creatures that move on the ground– everything that has the breath of life in it– I give every green plant for food.” It was so."
31,Genesis,1,1,31,"God saw all that he had made– and it was very good! There was evening, and there was morning, the sixth day."
32,Genesis,1,2,1,The heavens and the earth were completed with everything that was in them.
33,Genesis,1,2,2,"By the seventh day God finished the work that he had been doing, and he ceased on the seventh day all the work that he had been doing."
34,Genesis,1,2,3,God blessed the seventh day and made it holy because on it he ceased all the work that he had been doing in creation.
35,Genesis,1,2,4,The Creation of Man and Woman This is the account of the heavens and the earth when they were created– when the LORD God made the earth and heavens.
36,Genesis,1,2,5,"Now no shrub of the field had yet grown on the earth, and no plant of the field had yet sprouted, for the LORD God had not caused it to rain on the earth, and there was no man to cultivate the ground."
37,Genesis,1,2,6,Springs would well up from the earth and water the whole surface of the ground.
38,Genesis,1,2,7,"The LORD God formed the man from the soil of the ground and breathed into his nostrils the breath of life, and the man became a living being."
